shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
,,,bf:media,Media type,FALSE,TRUE,IRI,,,http://id.loc.gov/vocabulary/mediaTypes,IRIstem,,unmediated,http://id.loc.gov/vocabulary/mediaTypes/n,bf:Media,
,,,bf:carrier,Carrier type,FALSE,TRUE,IRI,,,http://id.loc.gov/vocabulary/carriers,IRIstem,,object,http://id.loc.gov/vocabulary/carriers/nr,bf:Carrier,
,,,bf:extent,Physical description,FALSE,TRUE,bnode,,lc:RT:Extent,,,,,,,
,,,bf:dimensions,Dimensions,FALSE,TRUE,literal,,,,,,,,,
,,,bf:identifiedBy,Identifiers,,true,bnode,,lc:RT:Identifiers:LCCN|lc:RT:Identifiers:Local,,,,,,,
,,,bf:note,Note,,true,bnode,,lc:RT:Note,,,,,,,
,,,bf:issuance,Mode of issuance,,,IRI,,,http://id.loc.gov/vocabulary/issuance,IRIstem,,single unit,http://id.loc.gov/vocabulary/issuance/mono,bf:Issuance,
lc:RT:3DObject:Work,BIBFRAME Work,bf:Work,bf:title,Title,FALSE,TRUE,bnode,,lc:RT:WorkTitle | lc:RT:Title:VarTitle | lc:RT:ParallelTitle,,,,,,,
,,,bf:contribution,Creator,,,bnode,,lc:RT:bflc:Agents:PrimaryContribution,,,,,,bf:PrimaryContribution,
,,,bf:contribution,Contributors,,true,bnode,,lc:RT:Agents:Contribution,,,,,,bf:Contribution,
,,,bf:content,Content type,FALSE,TRUE,IRI,,,http://id.loc.gov/vocabulary/contentTypes,IRIstem,,three-dimensional form,http://id.loc.gov/vocabulary/contentTypes/tdf,bf:Content,
,,,bf:summary,Summary,,true,bnode,,lc:RT:Summary,,,,,,,
,,,bf:note,Notes,,true,bnode,,lc:RT:Note,,,,,,,
,,,bf:classification,Classification numbers,,true,bnode,,lc:RT:LCC,,,,,,,
,,,bf:subject,Subjects,,true,bnode,,lc:RT:Components|lc:RT:Topic:SubjectWork|lc:RT:Topic:Place:Components,,,,,,,
,,,bf:genreForm,Genre/Form,,true,bnode,,lc:RT:Form,,,,,,,
,,,bf:geographicCoverage,Geographic coverage,,true,bnode,,lc:RT:Form:Geog,,,,,,,
,,,bf:originDate,Date of Work,,,literal,,,,,,,,,
,,,bf:hasInstance,Add BIBFRAME Instance,,true,bnode,,lc:RT:3DObject:Instance,,,,,,,
lc:RT:AcqSource,Acquisition source,bf:AcquisitionSource,bf:identifiedBy,Stock number,FALSE,TRUE,bnode,,lc:RT:Identifiers:StockNumber,,,,,,,
,,,rdfs:label,Source of acquisition,FALSE,TRUE,literal,,,,,,,,,
,,,bf:note,Note,FALSE,TRUE,bnode,,lc:RT:NoteSimple,,,,,,,
lc:RT:AdminMetadata,BIBFRAME 2.0 Admin Metadata,bf:AdminMetadata,bflc:catalogerId,Your cataloger ID (Windows ID),FALSE,TRUE,literal,,,,,,,,,
,,,bflc:encodingLevel,Encoding level,TRUE,FALSE,,,,http://id.loc.gov/vocabulary/menclvl,IRIstem,,,,bflc:EncodingLevel,
,,,bf:status,Status (new/changed/deleted),FALSE,FALSE,,,,http://id.loc.gov/vocabulary/mstatus,IRIstem,,,,bf:Status,
,,,bf:assigner,Assigning agency,FALSE,FALSE,,,,http://id.loc.gov/vocabulary/organizations,IRIstem,,DLC,http://id.loc.gov/vocabulary/organizations/dlc,bf:Agent,
,,,bf:descriptionAuthentication,Description authentication,TRUE,TRUE,,,,http://id.loc.gov/vocabulary/marcauthen,IRIstem,,pcc,http://id.loc.gov/vocabulary/marcauthen/pcc,bf:DescriptionAuthentication,
,,,bf:descriptionConventions,Description conventions,TRUE,TRUE,,,,http://id.loc.gov/vocabulary/descriptionConventions,IRIstem,,rda,http://id.loc.gov/vocabulary/descriptionConventions/rda,bf:DescriptionConventions,
,,,bf:descriptionLanguage,Description language,TRUE,FALSE,,,,http://id.loc.gov/vocabulary/languages,IRIstem,,English,http://id.loc.gov/vocabulary/languages/eng,bf:Language,
,,,bf:descriptionModifier,Description modifier,TRUE,TRUE,,,,http://id.loc.gov/vocabulary/organizations,IRIstem,,DLC,http://id.loc.gov/vocabulary/organizations/dlc,bf:Agent,
,,,bf:date,Date,FALSE,FALSE,literal,,,,,,,,,
,,,bf:identifiedBy,Identifier,FALSE,TRUE,bnode,,lc:RT:AdminMetadata:Identifier,,,,,,,
,,,bf:generationProcess,Generation Process,FALSE,TRUE,bnode,,lc:RT:AdminMetadata:GenerationProcess,,,,,,,
lc:RT:AdminMetadata:BFDB,BF DB Admin Metadata,bf:AdminMetadata,bflc:catalogerId,Your cataloger ID (Windows ID),FALSE,TRUE,literal,,,,,,,,,
,,,bflc:encodingLevel,Encoding level,TRUE,FALSE,,,,http://id.loc.gov/vocabulary/menclvl,IRIstem,,,,bflc:EncodingLevel,
,,,bf:status,Status (new/changed/deleted),FALSE,FALSE,,,,http://id.loc.gov/vocabulary/mstatus,IRIstem,,,,bf:Status,
,,,bf:date,Date,FALSE,FALSE,literal,,,,,,,,,
,,,bf:descriptionAuthentication,Description authentication,TRUE,TRUE,,,,http://id.loc.gov/vocabulary/marcauthen,IRIstem,,pcc,http://id.loc.gov/vocabulary/marcauthen/pcc,bf:DescriptionAuthentication,
,,,bf:descriptionConventions,Description conventions,TRUE,TRUE,,,,http://id.loc.gov/vocabulary/descriptionConventions,IRIstem,,rda,http://id.loc.gov/vocabulary/descriptionConventions/rda,bf:DescriptionConventions,
,,,bf:descriptionLanguage,Description language,TRUE,FALSE,,,,http://id.loc.gov/vocabulary/languages,IRIstem,,English,http://id.loc.gov/vocabulary/languages/eng,bf:Language,
,,,bflc:profile,Profile,FALSE,FALSE,literal,,,,,,,,,
,,,bf:identifiedBy,Local identifier,FALSE,TRUE,bnode,,lc:RT:AdminMetadata:Identifier,,,,,,,
,,,bf:generationProcess,Generation process,FALSE,FALSE,bnode,,lc:RT:AdminMetadata:GenerationProcess,,,,,,,
,,,bflc:procInfo,Process information,FALSE,FALSE,literal,,,,,,,,,
lc:RT:AdminMetadata:GenerationProcess,Generation process,bf:GenerationProcess,rdfs:label,Generation process,FALSE,TRUE,literal,,,,,,,,,
lc:RT:AdminMetadata:Identifier,Local identifier,bf:Local,rdf:value,Local identifier,FALSE,TRUE,literal,,,,,,,,,
lc:RT:AdminMetadata:Input,Admin Metadata-Cataloger input,bf:AdminMetadata,bflc:catalogerId,Your cataloger ID (Windows ID),FALSE,TRUE,literal,,,,,,,,,
,,,bflc:encodingLevel,Encoding level,FALSE,FALSE,,,,http://id.loc.gov/vocabulary/menclvl,IRIstem,,,,bflc:EncodingLevel,
,,,bf:descriptionConventions,Description conventions,FALSE,TRUE,,,,http://id.loc.gov/vocabulary/descriptionConventions,IRIstem,,"rda
isbd","http://id.loc.gov/vocabulary/descriptionConventions/rda
http://id.loc.gov/vocabulary/descriptionConventions/isbd",,
