shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
,,,bf:descriptionConventions,Description conventions,true,true,,,,http://preprod.id.loc.gov/vocabulary/descriptionConventions,IRIstem,,rda,http://id.loc.gov/vocabulary/descriptionConventions/rda,bf:DescriptionConventions,
,,,bf:descriptionLanguage,Description language,true,false,,,,http://preprod.id.loc.gov/vocabulary/languages,IRIstem,,English,http://id.loc.gov/vocabulary/languages/eng,bf:Language,
,,,bf:descriptionModifier,Description modifier,true,true,,,,http://preprod.id.loc.gov/vocabulary/organizations,IRIstem,,DLC,http://id.loc.gov/vocabulary/organizations/dlc,bf:Agent,
,,,bf:date,Date,false,false,literal,,,,,,,,,
,,,bf:identifiedBy,Identifier,false,true,bnode,,lc:RT:bf2:AdminMetadata:Identifier,,,,,,,
,,,bf:generationProcess,Generation Process,false,true,bnode,,lc:RT:bf2:AdminMetadata:GenerationProcess,,,,,,,
lc:RT:bf2:AdminMetadata:BFDB,BF DB Admin Metadata,bf:AdminMetadata,bflc:catalogerId,Your cataloger ID (Windows ID),false,true,literal,,,,,,,,,
,,,bflc:encodingLevel,Encoding level,true,false,,,,http://preprod.id.loc.gov/vocabulary/menclvl,IRIstem,,,,bflc:EncodingLevel,
,,,bf:status,Status (new/changed/deleted),false,false,,,,http://preprod.id.loc.gov/vocabulary/mstatus,IRIstem,,,,bf:Status,
,,,bf:date,Date,false,false,literal,,,,,,,,,
,,,bf:assigner,Assigning agency,,,,,,http://preprod.id.loc.gov/vocabulary/organizations,IRIstem,,DLC,http://id.loc.gov/vocabulary/organizations/dlc,bf:Agent,
,,,bf:descriptionAuthentication,Description authentication,true,true,,,,http://preprod.id.loc.gov/vocabulary/marcauthen,IRIstem,,pcc,http://id.loc.gov/vocabulary/marcauthen/pcc,bf:DescriptionAuthentication,
